หัวข้อ,ปีงบประมาณ/ปีดำเนินการ
แผนภูมิโครงสร้างกรมประมง 63 ตาม 4 ภารกิจ,2563
แผนปฏิบัติการเพื่อการบริหารจัดการการทำประมงปูม้า พ.ศ.2566 – 2570,2566-2570
นโยบายการกำกับดูแลองค์การที่ดี กรมประมง ประจำปีงบประมาณ พ.ศ.2567,2567
แผนพัฒนาบุคลากรกรมประมง พ.ศ.2566-2570,2566-2570
รายงานวิเคราะห์ผลการจัดซื้อจัดจ้าง ประจำปีงบประมาณ พ.ศ. 2565,2565
การออกหนังสือแจ้งการนำเข้าซึ่งอาหารสัตว์เข้ามาในราชอาณาจักร (นส.4) (อาหารสัตว์น้ำ),ไม่ระบุ
แนวทางปฏิบัติในการขอรับใบอนุญาตทำการประมงพาณิชย์ รอบปีการประมง 2565-2566,2565-2566
การแจ้งขอปิดสัญญาณอุปกรณ์ระบุตำแหน่งเรือชั่วคราว (ศฝป.4) และใบแจ้งเหตุเมื่อเรือไม่ส่งข้อมูลอุปกรณ์ระบุตำแหน่งเรือ,ไม่ระบุ
เรือขนถ่ายสัตว์น้ำฯ ตามประกาศกรมประมง,2560
สรุปผลการจัดซื้อ (แบบ สขร.1),ไม่ระบุ
ระบบจองสินค้า กรมประมง 98 ปี,ไม่ระบุ
เฉลิมพระเกียรติ 72 พรรษา,ไม่ระบุ
132 ปี กระทรวงเกษตรและสหกรณ์,ไม่ระบุ
28 ส.ค. 67 กรมประมงผนึกกำลัง 7 ชุมชน,2567
กรมประมงเร่งสำรวจความเสียหายอุทกภัยภาคเหนือตอนบน 4 จังหวัด,ไม่ระบุ
กรมประมงแจงไม่มีนโยบายขอรับเงินสนับสนุน,ไม่ระบุ
ระบบออกหนังสือคนประจำเรือ สำหรับแรงงานต่างด้าว (Seabook 2),ไม่ระบุ
รายงานการจัดส่ง สขร.1,ไม่ระบุ
ระบบจองสินค้า กรมประมง 98 ปี,ไม่ระบุ
